title,url,host,status
ABC,http://www.abc.it.pl/,www.abc.it.pl,error
ABC_Pismo_Narodowe,http://www.mw.k.pl/mw/abc.html,www.mw.k.pl,212.244.96.247
ABACUS,http://www.fsmw.math.uni.wroc.pl/czasop/abacus/index.htm,www.fsmw.math.uni.wroc.pl,156.17.86.7
Absolutnie_Fantastyczne,http://www.af.com.pl/,www.af.com.pl,89.161.162.125
Acta_Arithmetica,http://www.impan.gov.pl/PUBL/aa.html,www.impan.gov.pl,195.187.71.110
Acta_Biochimica_Polonica,http://arete.ibb.waw.pl/acta/,arete.ibb.waw.pl,212.87.28.79
Acta_Brutusica,http://www.oa.uj.edu.pl/ab/pl/index.html,www.oa.uj.edu.pl,149.156.70.2
Acta_Cosmologica,http://www.oa.uj.edu.pl/ac/,www.oa.uj.edu.pl,149.156.70.2
Acta_Geologica_Polonica,http://www.geo.uw.edu.pl/agp/,www.geo.uw.edu.pl,193.0.102.132
Acta_Hydrobiologica,http://www.zbw.pan.krakow.pl/Acta/acta_hydro.htm,www.zbw.pan.krakow.pl,error
Acta_Neurobiologiae_Experimentalis,http://www.nencki.gov.pl/public.htm,www.nencki.gov.pl,54.72.6.62
Acta_Paleontologica_Polonica,http://www.twarda.pan.pl/paleo/acta/acta.htm,www.twarda.pan.pl,212.87.19.11
Acta_Parasitologica,http://www.ipar.pan.pl/acta/acta.html,www.ipar.pan.pl,94.152.152.36
Acta_Physica_Polonica_B,http://www.if.uj.edu.pl/~acta/,www.if.uj.edu.pl,149.156.225.217
Acta_Protozoologica,http://www.nencki.gov.pl/public.htm,www.nencki.gov.pl,54.72.6.62
Acta_Theriologica,http://bison.zbs.bialowieza.pl/acta/acta.html,bison.zbs.bialowieza.pl,212.33.92.131
Acta_Universitatis_Iagiellonicae,http://www.uj.edu.pl/acta/index.pl.html,www.uj.edu.pl,149.156.225.215
Acta_Zoologica_Cracoviensia,http://www.isez.pan.krakow.pl/journals/acta.htm,www.isez.pan.krakow.pl,149.156.184.3
Action_Plus,http://www.silvershark.com.pl/aplus/,www.silvershark.com.pl,62.233.155.236
ADAM,http://www.asnyk.kalisz.pl/adam/adammain.htm,www.asnyk.kalisz.pl,79.189.117.154
AeroPlan,http://www.altair.com.pl/aeroplan/,www.altair.com.pl,79.96.226.164
Aida_media_Teoria_i_praktyka_reklamy,http://www.media.aida.pl/,www.media.aida.pl,188.128.255.251
Akademicki_Kurier_Morski,http://akm.wsm.gdynia.pl/,akm.wsm.gdynia.pl,error
Aktualności_Turystyczne,http://www.infotur.pl/papt/Aktur/Numer/Index.html,www.infotur.pl,188.127.1.82
Aktualności_Turystyczne,http://www.infotur.pl/papt/Aktur/Spec/Index.html,www.infotur.pl,188.127.1.82
ALBO,http://www.geocities.com/Vienna/3978/0.htm,www.geocities.com,98.137.201.117
Alded,http://www.stargard.v.pl/~alded/,www.stargard.v.pl,62.69.218.130
Alergia_Astma_Immunologia,http://www.am.lodz.pl/ampl/immunol/aaiindex.html,www.am.lodz.pl,212.51.199.184
Alergia_i_Ty,http://alergen.net/alergia_i_ty.html,alergen.net,212.85.97.74
Aletheia,http://julia.szp.cm-uj.krakow.pl/wsj/aletheia.htm,julia.szp.cm-uj.krakow.pl,149.156.14.2
Alma_Mater,http://www.uj.edu.pl/alma/index.pl.html,www.uj.edu.pl,149.156.225.215
Alternativa,http://student.man.radom.pl/Alternativa/,student.man.radom.pl,error
Amen,http://tempus.ii.uni.wroc.pl/~radomit/#go7,tempus.ii.uni.wroc.pl,error
Amiga_Computer_Studio,http://www.cgs.com.pl/acs.htm,www.cgs.com.pl,62.129.227.179
Anestezjologia_i_Intensywna_Terapia,http://www.anestezjologia.org.pl/pismo.htm,www.anestezjologia.org.pl,89.161.156.14
Angora,http://www.angora.com.pl/,www.angora.com.pl,77.252.28.21
Angorka,http://www.angorka.com.pl/,www.angorka.com.pl,77.252.28.21
Annals_of_Agricultural_and_Environmental_Medicine_(AAEM),http://galen.imw.lublin.pl/users/aaem/,galen.imw.lublin.pl,212.182.58.37
